,0,1
[[ 50.  50.  49.  49.]],6.0853719980985925,4.637245062634307
[[ 50.  49.  49.  50.]],8.553020895520737,5.097384752252083
[[ 50.  49.  51.  50.]],4.7516422181616,4.324790576166728
[[ 50.  49.  56.  50.]],2.2413504030222158,2.9327014237075764
[[ 49.  49.  63.  50.]],1.4110502478672597,0.7481549226451856
[[ 49.  49.  73.  50.]],1.7816189365062525,1.4609195511924968
[[ 48.  49.  82.  50.]],0.24727480494849385,0.23343057726633226
[[ 49.  50.  54.  49.]],4.679125241679671,8.697616988874977
[[ 49.  49.  54.  50.]],4.074835400285799,3.9157204948751954
[[ 49.  49.  56.  50.]],4.194819819217269,2.7740261092663814
[[ 49.  49.  59.  50.]],4.398621722259909,1.7927603376432182
[[ 49.  49.  62.  50.]],2.7448367875294455,1.3420747169091705
[[ 49.  49.  66.  50.]],2.4830145636091547,0.41214487299441616
[[ 49.  49.  69.  50.]],2.5972414889878803,0.1146781704540707
[[ 48.  49.  77.  50.]],-1.0424518461142358,0.35369625593911364
[[ 50.  49.  54.  49.]],4.950264323636906,6.544253939879397
[[ 50.  49.  54.  50.]],4.4145433397645775,4.736123887608587
[[ 50.  49.  55.  50.]],4.731634906220679,3.2413616763503104
[[ 50.  49.  58.  50.]],3.7642754428899607,4.404545476629564
[[ 50.  49.  62.  50.]],1.4936713780760624,3.3034746677609315
[[ 49.  49.  65.  50.]],1.7040645006513344,2.8266959517746235
[[ 49.  49.  70.  50.]],1.2751941053457747,0.0757871562373422
[[ 49.  50.  72.  50.]],0.21260013075597686,5.267177874544597
[[ 49.  50.  74.  50.]],1.6454200898815208,0.3722053166684191
[[ 49.  50.  76.  50.]],-0.7632364165374321,0.7151207158411345
[[ 50.  49.  53.  50.]],4.367903694588458,5.442761520143859
[[ 50.  50.  53.  49.]],4.350578750598569,6.307475152447942
[[ 50.  50.  51.  49.]],8.440201556485329,4.520303591335352
[[ 50.  50.  46.  49.]],4.398129663320172,4.757053968321041
[[ 50.  50.  40.  49.]],4.192460952727191,1.900985369345596
[[ 51.  50.  36.  49.]],2.4405994301728255,2.244372769358737
[[ 51.  50.  32.  49.]],0.7767128369448141,1.8184250194329328
[[ 51.  50.  31.  49.]],0.5219905358585587,0.9714203799704404
[[ 51.  50.  28.  49.]],1.37234662437953,1.095170150795745
[[ 51.  50.  24.  49.]],1.0598959281216684,-2.2039543258910905
[[ 49.  49.  51.  50.]],3.954626471745847,3.615582125482448
[[ 49.  50.  51.  49.]],4.745469245360499,6.070481494308483
[[ 49.  50.  49.  49.]],7.6946704801428245,4.768676736227365
[[ 49.  50.  47.  49.]],8.757748842259693,4.821009833708894
[[ 50.  50.  42.  49.]],3.8336327188709354,1.6782366003130638
[[ 50.  50.  39.  49.]],3.457438454730421,1.8867581893450611
[[ 50.  50.  34.  49.]],7.695376459021243,2.1102134645285267
[[ 51.  50.  27.  49.]],1.7078052502507943,-0.4926013747744593
